variable,coefficient,std_error,p_value,ci_lower,ci_upper
is_host,5.015814765108847,1.2230527240004652,5.447557737475773e-05,2.6078819889728657,7.423747541244829
log_gdp_per_capita,0.8692980323968956,0.3642115179142966,0.017684773378895614,0.15224239430182163,1.5863536704919696
log_population,0.3259482175128611,0.17086736225525365,0.05750258486517287,-0.010453569484973002,0.6623500045106953
medals_lag1,0.8482046915548703,0.03797631330258858,2.6540918642278275e-63,0.7734373428350149,0.9229720402747258
