year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
1928,Ski Jumping,"Large Hill, Individual, Men",Alf Andersen,NOR,False,Sigmund Ruud,NOR,False,Rudolf Burkert,TCH,False
1928,Speed Skating,"500 metres, Men",Bernt EvensenClas Thunberg,NORFIN,True,—,—,False,John O'Neil FarrellJaakko FrimanRoald Larsen,USAFINNOR,False
1928,Speed Skating,"1,500 metres, Men",Clas Thunberg,FIN,False,Bernt Evensen,NOR,False,Ivar Ballangrud,NOR,False
1928,Speed Skating,"5,000 metres, Men",Ivar Ballangrud,NOR,False,Julius Skutnabb,FIN,False,Bernt Evensen,NOR,False
1932,Bobsleigh,"Two, Men",United States 1,USA,False,Switzerland 2,SUI,False,United States 2,USA,False
1932,Bobsleigh,"Four, Men",United States 1,USA,False,United States 2,USA,False,Germany 1,GER,False
1932,Cross Country Skiing,"18 kilometres, Men",Sven Utterström,SWE,False,Axel Wikström,SWE,False,Veli Saarinen,FIN,False
1932,Cross Country Skiing,"50 kilometres, Men",Veli Saarinen,FIN,False,Väinö Liikkanen,FIN,False,Arne Rustadstuen,NOR,False
1932,Figure Skating,"Singles, Men",Karl Schäfer,AUT,False,Gillis Grafström,SWE,False,Bud Wilson,CAN,False
1932,Figure Skating,"Singles, Women",Sonja Henie,NOR,False,Fritzi Burger,AUT,False,Maribel Vinson,USA,False
1932,Figure Skating,"Pairs, Mixed",France,FRA,False,United States 1,USA,False,Hungary 1,HUN,False
1932,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,United States,USA,False,Germany,GER,False
1932,Nordic Combined,"Individual, Men",Johan Grøttumsbraaten,NOR,False,Ole Stenen,NOR,False,Hans Vinjarengen,NOR,False
1932,Ski Jumping,"Large Hill, Individual, Men",Birger Ruud,NOR,False,Hans Beck,NOR,False,Kåre Walberg,NOR,False
1932,Speed Skating,"500 metres, Men",Jack Shea,USA,False,Bernt Evensen,NOR,False,Alex Hurd,CAN,False
1932,Speed Skating,"1,500 metres, Men",Jack Shea,USA,False,Alex Hurd,CAN,False,Willy Logan,CAN,False
1932,Speed Skating,"5,000 metres, Men",Irving Jaffee,USA,False,Eddie Murphy,USA,False,Willy Logan,CAN,False
1932,Speed Skating,"10,000 metres, Men",Irving Jaffee,USA,False,Ivar Ballangrud,NOR,False,Frank Stack,CAN,False
1936,Alpine Skiing,"Combined, Men",Franz Pfnür,GER,False,Gustav Lantschner,GER,False,Émile Allais,FRA,False
1936,Alpine Skiing,"Combined, Women",Christl Cranz,GER,False,Käthe Grasegger,GER,False,Laila Schou Nilsen,NOR,False
1936,Bobsleigh,"Two, Men",United States 1,USA,False,Switzerland 2,SUI,False,United States 2,USA,False
1936,Bobsleigh,"Four, Men",Switzerland 2,SUI,False,Switzerland 1,SUI,False,Great Britain,GBR,False
1936,Cross Country Skiing,"18 kilometres, Men",Erik Larsson,SWE,False,Oddbjørn Hagen,NOR,False,Pekka Niemi,FIN,False
1936,Cross Country Skiing,"50 kilometres, Men",Elis Wiklund,SWE,False,Axel Wikström,SWE,False,Nils Englund,SWE,False
1936,Cross Country Skiing,"Relay, Men",Finland,FIN,False,Norway,NOR,False,Sweden,SWE,False
1936,Figure Skating,"Singles, Men",Karl Schäfer,AUT,False,Ernst Baier,GER,False,Felix Kaspar,AUT,False
1936,Figure Skating,"Singles, Women",Sonja Henie,NOR,False,Cecilia Colledge,GBR,False,Vivi-Anne Hultén,SWE,False
1936,Figure Skating,"Pairs, Mixed",Germany 1,GER,False,Austria 1,AUT,False,Hungary 1,HUN,False
1936,Ice Hockey,"Ice Hockey, Men",Great Britain,GBR,False,Canada,CAN,False,United States,USA,False
1936,Nordic Combined,"Individual, Men",Oddbjørn Hagen,NOR,False,Olaf Hoffsbakken,NOR,False,Sverre Brodahl,NOR,False
1936,Ski Jumping,"Large Hill, Individual, Men",Birger Ruud,NOR,False,Sven Eriksson,SWE,False,Reidar Andersen,NOR,False
1936,Speed Skating,"500 metres, Men",Ivar Ballangrud,NOR,False,Georg Krog,NOR,False,Leo Freisinger,USA,False
1936,Speed Skating,"1,500 metres, Men",Charles Mathiesen,NOR,False,Ivar Ballangrud,NOR,False,Birger Wasenius,FIN,False
1936,Speed Skating,"5,000 metres, Men",Ivar Ballangrud,NOR,False,Birger Wasenius,FIN,False,Antero Ojala,FIN,False
1936,Speed Skating,"10,000 metres, Men",Ivar Ballangrud,NOR,False,Birger Wasenius,FIN,False,Max Stiepl,AUT,False
1948,Alpine Skiing,"Downhill, Men",Henri Oreiller,FRA,False,Franz Gabl,AUT,False,Karl MolitorRalph Olinger,SUISUI,True
1948,Alpine Skiing,"Slalom, Men",Edy Reinalter,SUI,False,James Couttet,FRA,False,Henri Oreiller,FRA,False
1948,Alpine Skiing,"Combined, Men",Henri Oreiller,FRA,False,Karl Molitor,SUI,False,James Couttet,FRA,False
1948,Alpine Skiing,"Downhill, Women",Hedy Schlunegger,SUI,False,Trude Beiser,AUT,False,Resi Hammerer,AUT,False
1948,Alpine Skiing,"Slalom, Women",Gretchen Fraser,USA,False,Antoinette Meyer,SUI,False,Erika Mahringer,AUT,False
1948,Alpine Skiing,"Combined, Women",Trude Beiser,AUT,False,Gretchen Fraser,USA,False,Erika Mahringer,AUT,False
1948,Bobsleigh,"Two, Men",Switzerland 2,SUI,False,Switzerland 1,SUI,False,United States 2,USA,False
1948,Bobsleigh,"Four, Men",United States 2,USA,False,Belgium,BEL,False,United States 1,USA,False
1948,Cross Country Skiing,"18 kilometres, Men",Martin Lundström,SWE,False,Nils Östensson,SWE,False,Gunnar Eriksson,SWE,False
1948,Cross Country Skiing,"50 kilometres, Men",Nils Karlsson,SWE,False,Harald Ericson,SWE,False,Benjam Vanninen,FIN,False
1948,Cross Country Skiing,"Relay, Men",Sweden,SWE,False,Finland,FIN,False,Norway,NOR,False
1948,Figure Skating,"Singles, Men",Dick Button,USA,False,Hans Gerschwiler,SUI,False,Edi Rada,AUT,False
1948,Figure Skating,"Singles, Women",Barbara Ann Scott,CAN,False,Eva Pawlik,AUT,False,Jeannette Altwegg,GBR,False
1948,Figure Skating,"Pairs, Mixed",Belgium,BEL,False,Hungary 1,HUN,False,Canada,CAN,False
1948,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,Czechoslovakia,TCH,False,Switzerland,SUI,False
1948,Nordic Combined,"Individual, Men",Heikki Hasu,FIN,False,Martti Huhtala,FIN,False,Sven Israelsson,SWE,False
1948,Skeleton,"Skeleton, Men",Nino Bibbia,ITA,False,Jack Heaton,USA,False,John Crammond,GBR,False
1948,Ski Jumping,"Large Hill, Individual, Men",Petter Hugsted,NOR,False,Birger Ruud,NOR,False,Thorleif Schjelderup,NOR,False
1948,Speed Skating,"500 metres, Men",Finn Helgesen,NOR,False,Ken BartholomewThomas BybergBobby Fitzgerald,USANORUSA,False,—,—,False
1948,Speed Skating,"1,500 metres, Men",Sverre Farstad,NOR,False,Åke Seyffarth,SWE,False,Odd Lundberg,NOR,False
1948,Speed Skating,"5,000 metres, Men",Reidar Liaklev,NOR,False,Odd Lundberg,NOR,False,Göthe Hedlund,SWE,False
1948,Speed Skating,"10,000 metres, Men",Åke Seyffarth,SWE,False,Lassi Parkkinen,FIN,False,Pentti Lammio,FIN,False
1952,Alpine Skiing,"Downhill, Men",Zeno Colò,ITA,False,Othmar Schneider,AUT,False,Christian Pravda,AUT,False
1952,Alpine Skiing,"Giant Slalom, Men",Stein Eriksen,NOR,False,Christian Pravda,AUT,False,Toni Spiß,AUT,False
1952,Alpine Skiing,"Slalom, Men",Othmar Schneider,AUT,False,Stein Eriksen,NOR,False,Guttorm Berge,NOR,False
1952,Alpine Skiing,"Downhill, Women",Trude Jochum-Beiser,AUT,False,Mirl Buchner,GER,False,Giuliana Minuzzo,ITA,False
1952,Alpine Skiing,"Giant Slalom, Women",Andrea Mead-Lawrence,USA,False,Dagmar Rom,AUT,False,Mirl Buchner,GER,False
1952,Alpine Skiing,"Slalom, Women",Andrea Mead-Lawrence,USA,False,Ossi Reichert,GER,False,Mirl Buchner,GER,False
1952,Bobsleigh,"Two, Men",Unified Team of Germany 1,GER,False,United States 1,USA,False,Switzerland 1,SUI,False
1952,Bobsleigh,"Four, Men",Unified Team of Germany,GER,False,United States 1,USA,False,Switzerland 1,SUI,False
1952,Cross Country Skiing,"18 kilometres, Men",Hallgeir Brenden,NOR,False,Tapio Mäkelä,FIN,False,Paavo Lonkila,FIN,False
1952,Cross Country Skiing,"50 kilometres, Men",Veikko Hakulinen,FIN,False,Eero Kolehmainen,FIN,False,Magnar Estenstad,NOR,False
1952,Cross Country Skiing,"Relay, Men",Finland,FIN,False,Norway,NOR,False,Sweden,SWE,False
1952,Cross Country Skiing,"10 kilometres, Women",Lydia Wideman,FIN,False,Mirja Hietamies,FIN,False,Siiri Rantanen,FIN,False
1952,Figure Skating,"Singles, Men",Dick Button,USA,False,Helmut Seibt,AUT,False,Jim Grogan,USA,False
1952,Figure Skating,"Singles, Women",Jeannette Altwegg,GBR,False,Tenley Albright,USA,False,Jacqueline du Bief,FRA,False
1952,Figure Skating,"Pairs, Mixed",Unified Team of Germany 1,GER,False,United States 1,USA,False,Hungary 1,HUN,False
1952,Ice Hockey,"Ice Hockey, Men",Canada,CAN,False,United States,USA,False,Sweden,SWE,False
1952,Nordic Combined,"Individual, Men",Simon Slåttvik,NOR,False,Heikki Hasu,FIN,False,Sverre Stenersen,NOR,False
1952,Ski Jumping,"Large Hill, Individual, Men",Arnfinn Bergmann,NOR,False,Torbjørn Falkanger,NOR,False,Karl Holmström,SWE,False
1952,Speed Skating,"500 metres, Men",Ken Henry,USA,False,Don McDermott,USA,False,Gordon AudleyArne Johansen,CANNOR,True
1952,Speed Skating,"1,500 metres, Men",Hjalmar Andersen,NOR,False,Wim van der Voort,NED,False,Roald Aas,NOR,False
1952,Speed Skating,"5,000 metres, Men",Hjalmar Andersen,NOR,False,Kees Broekman,NED,False,Sverre Haugli,NOR,False
1952,Speed Skating,"10,000 metres, Men",Hjalmar Andersen,NOR,False,Kees Broekman,NED,False,Carl-Erik Asplund,SWE,False
1956,Alpine Skiing,"Downhill, Men",Toni Sailer,AUT,False,Raymond Fellay,SUI,False,Anderl Molterer,AUT,False
1956,Alpine Skiing,"Giant Slalom, Men",Toni Sailer,AUT,False,Anderl Molterer,AUT,False,Walter Schuster,AUT,False
1956,Alpine Skiing,"Slalom, Men",Toni Sailer,AUT,False,Chiharu Igaya,JPN,False,Stig Sollander,SWE,False
1956,Alpine Skiing,"Downhill, Women",Madeleine Berthod,SUI,False,Frieda Dänzer,SUI,False,Lucile Wheeler,CAN,False
1956,Alpine Skiing,"Giant Slalom, Women",Ossi Reichert,GER,False,Putzi Frandl,AUT,False,Thea Hochleitner,AUT,False
1956,Alpine Skiing,"Slalom, Women",Renée Colliard,SUI,False,Regina Schöpf,AUT,False,Yevgeniya Sidorova,URS,False
1956,Bobsleigh,"Two, Men",Italy 1,ITA,False,Italy 2,ITA,False,Switzerland 1,SUI,False
1956,Bobsleigh,"Four, Men",Switzerland 1,SUI,False,Italy 2,ITA,False,United States 1,USA,False
1956,Cross Country Skiing,"15 kilometres, Men",Hallgeir Brenden,NOR,False,Sixten Jernberg,SWE,False,Pavel Kolchin,URS,False
1956,Cross Country Skiing,"30 kilometres, Men",Veikko Hakulinen,FIN,False,Sixten Jernberg,SWE,False,Pavel Kolchin,URS,False
1956,Cross Country Skiing,"50 kilometres, Men",Sixten Jernberg,SWE,False,Veikko Hakulinen,FIN,False,Fyodor Terentyev,URS,False
1956,Cross Country Skiing,"Relay, Men",Soviet Union,URS,False,Finland,FIN,False,Sweden,SWE,False
1956,Cross Country Skiing,"10 kilometres, Women",Lyubov Kozyreva,URS,False,Radya Yeroshina,URS,False,Sonja Edström,SWE,False
1956,Cross Country Skiing,"Relay, Women",Finland,FIN,False,Soviet Union,URS,False,Sweden,SWE,False
1956,Figure Skating,"Singles, Men",Hayes Jenkins,USA,False,Ronnie Robertson,USA,False,David Jenkins,USA,False
1956,Figure Skating,"Singles, Women",Tenley Albright,USA,False,Carol Heiss,USA,False,Ingrid Wendl,AUT,False
1956,Figure Skating,"Pairs, Mixed",Austria 1,AUT,False,Canada 1,CAN,False,Hungary,HUN,False
1956,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,United States,USA,False,Canada,CAN,False
1956,Nordic Combined,"Individual, Men",Sverre Stenersen,NOR,False,Bengt Eriksson,SWE,False,Franciszek Gąsienica Groń,POL,False
1956,Ski Jumping,"Large Hill, Individual, Men",Antti Hyvärinen,FIN,False,Aulis Kallakorpi,FIN,False,Harry Glaß,GER,False
1956,Speed Skating,"500 metres, Men",Yevgeny Grishin,URS,False,Rafael Grach,URS,False,Alv Gjestvang,NOR,False
1956,Speed Skating,"1,500 metres, Men",Yevgeny GrishinYury Mikhaylov,URSURS,True,—,—,False,Toivo Salonen,FIN,False
1956,Speed Skating,"5,000 metres, Men",Boris Shilkov,URS,False,Sigvard Ericsson,SWE,False,Oleg Goncharenko,URS,False
1956,Speed Skating,"10,000 metres, Men",Sigvard Ericsson,SWE,False,Knut Johannesen,NOR,False,Oleg Goncharenko,URS,False
1960,Alpine Skiing,"Downhill, Men",Jean Vuarnet,FRA,False,Hanspeter Lanig,GER,False,Guy Périllat,FRA,False
1960,Alpine Skiing,"Giant Slalom, Men",Roger Staub,SUI,False,Pepi Stiegler,AUT,False,Ernst Hinterseer,AUT,False
1960,Alpine Skiing,"Slalom, Men",Ernst Hinterseer,AUT,False,Hias Leitner,AUT,False,Charles Bozon,FRA,False
1960,Alpine Skiing,"Downhill, Women",Heidi Biebl,GER,False,Penny Pitou,USA,False,Traudl Hecher,AUT,False
1960,Alpine Skiing,"Giant Slalom, Women",Yvonne Rüegg,SUI,False,Penny Pitou,USA,False,Giuliana Chenal-Minuzzo,ITA,False
1960,Alpine Skiing,"Slalom, Women",Anne Heggtveit,CAN,False,Betsy Snite,USA,False,Barbi Henneberger,GER,False
1960,Biathlon,"Individual, Men",Klas Lestander,SWE,False,Antti Tyrväinen,FIN,False,Aleksandr Privalov,URS,False
1960,Cross Country Skiing,"15 kilometres, Men",Håkon Brusveen,NOR,False,Sixten Jernberg,SWE,False,Veikko Hakulinen,FIN,False
1960,Cross Country Skiing,"30 kilometres, Men",Sixten Jernberg,SWE,False,Rolf Rämgård,SWE,False,Nikolay Anikin,URS,False
1960,Cross Country Skiing,"50 kilometres, Men",Kalevi Hämäläinen,FIN,False,Veikko Hakulinen,FIN,False,Rolf Rämgård,SWE,False
1960,Cross Country Skiing,"Relay, Men",Finland,FIN,False,Norway,NOR,False,Soviet Union,URS,False
1960,Cross Country Skiing,"10 kilometres, Women",Mariya Gusakova,URS,False,Lyubov Baranova,URS,False,Radya Yeroshina,URS,False
1960,Cross Country Skiing,"Relay, Women",Sweden,SWE,False,Soviet Union,URS,False,Finland,FIN,False
1960,Figure Skating,"Singles, Men",David Jenkins,USA,False,Karol Divín,TCH,False,Don Jackson,CAN,False
1960,Figure Skating,"Singles, Women",Carol Heiss,USA,False,Sjoukje Dijkstra,NED,False,Barbara Ann Roles,USA,False
1960,Figure Skating,"Pairs, Mixed",Canada 1,CAN,False,Unified Team of Germany 1,GER,False,United States 1,USA,False
1960,Ice Hockey,"Ice Hockey, Men",United States,USA,False,Canada,CAN,False,Soviet Union,URS,False
1960,Nordic Combined,"Individual, Men",Georg Thoma,GER,False,Tormod Knutsen,NOR,False,Nikolay Gusakov,URS,False
1960,Ski Jumping,"Large Hill, Individual, Men",Helmut Recknagel,GER,False,Niilo Halonen,FIN,False,Otto Leodolter,AUT,False
1960,Speed Skating,"500 metres, Men",Yevgeny Grishin,URS,False,Bill Disney,USA,False,Rafael Grach,URS,False
1960,Speed Skating,"1,500 metres, Men",Roald AasYevgeny Grishin,NORURS,True,—,—,False,Boris Stenin,URS,False
1960,Speed Skating,"5,000 metres, Men",Viktor Kosichkin,URS,False,Knut Johannesen,NOR,False,Jan Pesman,NED,False
1960,Speed Skating,"10,000 metres, Men",Knut Johannesen,NOR,False,Viktor Kosichkin,URS,False,Kjell Bäckman,SWE,False
1960,Speed Skating,"500 metres, Women",Helga Haase,GER,False,Nataliya Donchenko,URS,False,Jeanne Ashworth,USA,False
1960,Speed Skating,"1,000 metres, Women",Klara Guseva,URS,False,Helga Haase,GER,False,Tamara Rylova,URS,False
1960,Speed Skating,"1,500 metres, Women",Lidiya Skoblikova,URS,False,Elwira Seroczyńska,POL,False,Helena Pilejczyk,POL,False
1960,Speed Skating,"3,000 metres, Women",Lidiya Skoblikova,URS,False,Valentina Stenina,URS,False,Eevi Huttunen,FIN,False
1964,Alpine Skiing,"Downhill, Men",Egon Zimmermann,AUT,False,Léo Lacroix,FRA,False,Wolfgang Bartels,GER,False
1964,Alpine Skiing,"Giant Slalom, Men",François Bonlieu,FRA,False,Karl Schranz,AUT,False,Pepi Stiegler,AUT,False
1964,Alpine Skiing,"Slalom, Men",Pepi Stiegler,AUT,False,Billy Kidd,USA,False,Jimmy Heuga,USA,False
1964,Alpine Skiing,"Downhill, Women",Christl Haas,AUT,False,Edith Zimmermann,AUT,False,Traudl Hecher,AUT,False
1964,Alpine Skiing,"Giant Slalom, Women",Marielle Goitschel,FRA,False,Christine GoitschelJean Saubert,FRAUSA,True,—,—,False
1964,Alpine Skiing,"Slalom, Women",Christine Goitschel,FRA,False,Marielle Goitschel,FRA,False,Jean Saubert,USA,False
1964,Biathlon,"Individual, Men",Vladimir Melanin,URS,False,Aleksandr Privalov,URS,False,Olav Jordet,NOR,False
1964,Bobsleigh,"Two, Men",Great Britain 1,GBR,False,Italy 2,ITA,False,Italy 1,ITA,False
1964,Bobsleigh,"Four, Men",Canada 1,CAN,False,Austria 1,AUT,False,Italy 2,ITA,False
1964,Cross Country Skiing,"15 kilometres, Men",Eero Mäntyranta,FIN,False,Harald Grønningen,NOR,False,Sixten Jernberg,SWE,False
1964,Cross Country Skiing,"30 kilometres, Men",Eero Mäntyranta,FIN,False,Harald Grønningen,NOR,False,Igor Voronchikhin,URS,False
1964,Cross Country Skiing,"50 kilometres, Men",Sixten Jernberg,SWE,False,Assar Rönnlund,SWE,False,Arto Tiainen,FIN,False
1964,Cross Country Skiing,"Relay, Men",Sweden,SWE,False,Finland,FIN,False,Soviet Union,URS,False
1964,Cross Country Skiing,"5 kilometres, Women",Klavdiya Boyarskikh,URS,False,Mirja Lehtonen,FIN,False,Alevtina Kolchina,URS,False
1964,Cross Country Skiing,"10 kilometres, Women",Klavdiya Boyarskikh,URS,False,Yevdokiya Mekshilo,URS,False,Mariya Gusakova,URS,False
1964,Cross Country Skiing,"Relay, Women",Soviet Union,URS,False,Sweden,SWE,False,Finland,FIN,False
1964,Figure Skating,"Singles, Men",Manfred Schnelldorfer,GER,False,Alain Calmat,FRA,False,Scotty Allen,USA,False
1964,Figure Skating,"Singles, Women",Sjoukje Dijkstra,NED,False,Regine Heitzer,AUT,False,Petra Burka,CAN,False
1964,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,Unified Team of Germany 1Canada 1,GERCAN,True,United States 1,USA,False
1964,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,Sweden,SWE,False,Czechoslovakia,TCH,False
1964,Luge,"Singles, Men",Thomas Köhler,GER,False,Klaus-Michael Bonsack,GER,False,Hans Plenk,GER,False
1964,Luge,"Doubles, Men",Austria 1,AUT,False,Austria 2,AUT,False,Italy 1,ITA,False
1964,Luge,"Singles, Women",Ortrun Enderlein,GER,False,Ilse Geisler,GER,False,Leni Thurner,AUT,False
1964,Nordic Combined,"Individual, Men",Tormod Knutsen,NOR,False,Nikolay Kiselyov,URS,False,Georg Thoma,GER,False
1964,Ski Jumping,"Normal Hill, Individual, Men",Veikko Kankkonen,FIN,False,Toralf Engan,NOR,False,Torgeir Brandtzæg,NOR,False
1964,Ski Jumping,"Large Hill, Individual, Men",Toralf Engan,NOR,False,Veikko Kankkonen,FIN,False,Torgeir Brandtzæg,NOR,False
1964,Speed Skating,"500 metres, Men",Terry McDermott,USA,False,Alv GjestvangYevgeny GrishinVladimir Orlov,NORURSURS,False,—,—,False
1964,Speed Skating,"1,500 metres, Men",Ants Antson,URS,False,Kees Verkerk,NED,False,Villy Haugen,NOR,False
1964,Speed Skating,"5,000 metres, Men",Knut Johannesen,NOR,False,Per Ivar Moe,NOR,False,Fred Anton Maier,NOR,False
1964,Speed Skating,"10,000 metres, Men",Jonny Nilsson,SWE,False,Fred Anton Maier,NOR,False,Knut Johannesen,NOR,False
1964,Speed Skating,"500 metres, Women",Lidiya Skoblikova,URS,False,Irina Yegorova,URS,False,Tatyana Sidorova,URS,False
1964,Speed Skating,"1,000 metres, Women",Lidiya Skoblikova,URS,False,Irina Yegorova,URS,False,Kaija Mustonen,FIN,False
1964,Speed Skating,"1,500 metres, Women",Lidiya Skoblikova,URS,False,Kaija Mustonen,FIN,False,Berta Kolokoltseva,URS,False
1964,Speed Skating,"3,000 metres, Women",Lidiya Skoblikova,URS,False,Han Pil-HwaValentina Stenina,PRKURS,True,—,—,False
1968,Alpine Skiing,"Downhill, Men",Jean-Claude Killy,FRA,False,Guy Périllat,FRA,False,Jean-Daniel Dätwyler,SUI,False
1968,Alpine Skiing,"Giant Slalom, Men",Jean-Claude Killy,FRA,False,Willy Favre,SUI,False,Heini Messner,AUT,False
1968,Alpine Skiing,"Slalom, Men",Jean-Claude Killy,FRA,False,Herbert Huber,AUT,False,Alfred Matt,AUT,False
1968,Alpine Skiing,"Downhill, Women",Olga Pall,AUT,False,Isabelle Mir,FRA,False,Christl Haas,AUT,False
1968,Alpine Skiing,"Giant Slalom, Women",Nancy Greene,CAN,False,Annie Famose,FRA,False,Fernande Bochatay,SUI,False
1968,Alpine Skiing,"Slalom, Women",Marielle Goitschel,FRA,False,Nancy Greene,CAN,False,Annie Famose,FRA,False
1968,Biathlon,"Individual, Men",Magnar Solberg,NOR,False,Aleksandr Tikhonov,URS,False,Vladimir Gundartsev,URS,False
1968,Biathlon,"Relay, Men",Soviet Union,URS,False,Norway,NOR,False,Sweden,SWE,False
1968,Bobsleigh,"Two, Men",Italy 1,ITA,False,West Germany 1,FRG,False,Romania 1,ROU,False
1968,Bobsleigh,"Four, Men",Italy 1,ITA,False,Austria 1,AUT,False,Switzerland 1,SUI,False
1968,Cross Country Skiing,"15 kilometres, Men",Harald Grønningen,NOR,False,Eero Mäntyranta,FIN,False,Gunnar Larsson,SWE,False
1968,Cross Country Skiing,"30 kilometres, Men",Franco Nones,ITA,False,Odd Martinsen,NOR,False,Eero Mäntyranta,FIN,False
1968,Cross Country Skiing,"50 kilometres, Men",Ole Ellefsæter,NOR,False,Vyacheslav Vedenin,URS,False,Sepp Haas,SUI,False
1968,Cross Country Skiing,"Relay, Men",Norway,NOR,False,Sweden,SWE,False,Finland,FIN,False
1968,Cross Country Skiing,"5 kilometres, Women",Toini Gustafsson,SWE,False,Galina Kulakova,URS,False,Alevtina Kolchina,URS,False
1968,Cross Country Skiing,"10 kilometres, Women",Toini Gustafsson,SWE,False,Berit Mørdre,NOR,False,Inger Aufles,NOR,False
1968,Cross Country Skiing,"Relay, Women",Norway,NOR,False,Sweden,SWE,False,Soviet Union,URS,False
1968,Figure Skating,"Singles, Men",Wolfgang Schwarz,AUT,False,Tim Wood,USA,False,Patrick Péra,FRA,False
1968,Figure Skating,"Singles, Women",Peggy Fleming,USA,False,Gabriele Seyfert,GDR,False,Hana Mašková,TCH,False
1968,Figure Skating,"Pairs, Mixed",Soviet Union 1,URS,False,Soviet Union 2,URS,False,West Germany 1,FRG,False
1968,Ice Hockey,"Ice Hockey, Men",Soviet Union,URS,False,Czechoslovakia,TCH,False,Canada,CAN,False
1968,Luge,"Singles, Men",Manfred Schmid,AUT,False,Thomas Köhler,GDR,False,Klaus-Michael Bonsack,GDR,False
1968,Luge,"Doubles, Men",East Germany 1,GDR,False,Austria 1,AUT,False,West Germany 1,FRG,False
1968,Luge,"Singles, Women",Erika Lechner,ITA,False,Christa Schmuck,FRG,False,Angelika Dünhaupt,FRG,False
1968,Nordic Combined,"Individual, Men",Franz Keller,FRG,False,Alois Kälin,SUI,False,Andreas Kunz,GDR,False
1968,Ski Jumping,"Normal Hill, Individual, Men",Jiří Raška,TCH,False,Reinhold Bachler,AUT,False,Baldur Preiml,AUT,False
1968,Ski Jumping,"Large Hill, Individual, Men",Vladimir Belousov,URS,False,Jiří Raška,TCH,False,Lars Grini,NOR,False
1968,Speed Skating,"500 metres, Men",Erhard Keller,FRG,False,Terry McDermottMagne Thomassen,USANOR,True,—,—,False
1968,Speed Skating,"1,500 metres, Men",Kees Verkerk,NED,False,Ivar EriksenArd Schenk,NORNED,True,—,—,False
1968,Speed Skating,"5,000 metres, Men",Fred Anton Maier,NOR,False,Kees Verkerk,NED,False,Peter Nottet,NED,False
1968,Speed Skating,"10,000 metres, Men",Johnny Höglin,SWE,False,Fred Anton Maier,NOR,False,Örjan Sandler,SWE,False
1968,Speed Skating,"500 metres, Women",Lyudmila Titova,URS,False,Jenny FishDianne HolumMary Meyers,USAUSAUSA,False,—,—,False
1968,Speed Skating,"1,000 metres, Women",Carry Geijssen,NED,False,Lyudmila Titova,URS,False,Dianne Holum,USA,False
1968,Speed Skating,"1,500 metres, Women",Kaija Mustonen,FIN,False,Carry Geijssen,NED,False,Stien Kaiser,NED,False
1968,Speed Skating,"3,000 metres, Women",Ans Schut,NED,False,Kaija Mustonen,FIN,False,Stien Kaiser,NED,False
1972,Alpine Skiing,"Downhill, Men",Bernhard Russi,SUI,False,Roland Collombin,SUI,False,Heini Messner,AUT,False
1972,Alpine Skiing,"Giant Slalom, Men",Gustavo Thoeni,ITA,False,Edy Bruggmann,SUI,False,Werner Mattle,SUI,False
1972,Alpine Skiing,"Slalom, Men",Francisco Fernández Ochoa,ESP,False,Gustavo Thoeni,ITA,False,Rolando Thoeni,ITA,False
1972,Alpine Skiing,"Downhill, Women",Marie-Theres Nadig,SUI,False,Annemarie Pröll,AUT,False,Susie Corrock,USA,False
1972,Alpine Skiing,"Giant Slalom, Women",Marie-Theres Nadig,SUI,False,Annemarie Pröll,AUT,False,Wiltrud Drexel,AUT,False
1972,Alpine Skiing,"Slalom, Women",Barbara Cochran,USA,False,Danièle Debernard,FRA,False,Florence Steurer,FRA,False
1972,Biathlon,"Individual, Men",Magnar Solberg,NOR,False,Hansjörg Knauthe,GDR,False,Lars-Göran Arwidson,SWE,False
1972,Biathlon,"Relay, Men",Soviet Union,URS,False,Finland,FIN,False,East Germany,GDR,False
1972,Bobsleigh,"Two, Men",West Germany 2,FRG,False,West Germany 1,FRG,False,Switzerland 1,SUI,False
1972,Bobsleigh,"Four, Men",Switzerland 1,SUI,False,Italy 1,ITA,False,West Germany 1,FRG,False
1972,Cross Country Skiing,"15 kilometres, Men",Sven-Åke Lundbäck,SWE,False,Fyodor Simashov,URS,False,Ivar Formo,NOR,False
1972,Cross Country Skiing,"30 kilometres, Men",Vyacheslav Vedenin,URS,False,Pål Tyldum,NOR,False,Johs Harviken,NOR,False
1972,Cross Country Skiing,"50 kilometres, Men",Pål Tyldum,NOR,False,Magne Myrmo,NOR,False,Vyacheslav Vedenin,URS,False
1972,Cross Country Skiing,"Relay, Men",Soviet Union,URS,False,Norway,NOR,False,Switzerland,SUI,False
1972,Cross Country Skiing,"5 kilometres, Women",Galina Kulakova,URS,False,Marjatta Kajosmaa,FIN,False,Helena Šikolová,TCH,False
1972,Cross Country Skiing,"10 kilometres, Women",Galina Kulakova,URS,False,Alevtina Olyunina,URS,False,Marjatta Kajosmaa,FIN,False
