year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1952,"Pairs, Mixed",gold,GER,DEU,,,NOR,0,,
1952,"Ice Hockey, Men",gold,CAN,CAN,,,NOR,0,,
1952,"Individual, Men",gold,NOR,NOR,,,NOR,1,,
1952,"Large Hill, Individual, Men",gold,NOR,NOR,,,NOR,1,,
1952,"500 metres, Men",gold,USA,USA,,,NOR,0,,
1952,"1,500 metres, Men",gold,NOR,NOR,,,NOR,1,,
1952,"5,000 metres, Men",gold,NOR,NOR,,,NOR,1,,
1952,"10,000 metres, Men",gold,NOR,NOR,,,NOR,1,,
1956,"Downhill, Men",gold,AUT,AUT,,,ITA,0,,
1956,"Giant Slalom, Men",gold,AUT,AUT,,,ITA,0,,
1956,"Slalom, Men",gold,AUT,AUT,,,ITA,0,,
1956,"Downhill, Women",gold,SUI,CHE,,,ITA,0,,
1956,"Giant Slalom, Women",gold,GER,DEU,,,ITA,0,,
1956,"Slalom, Women",gold,SUI,CHE,,,ITA,0,,
1956,"Two, Men",gold,ITA,ITA,,,ITA,1,,
1956,"Four, Men",gold,SUI,CHE,,,ITA,0,,
1956,"15 kilometres, Men",gold,NOR,NOR,,,ITA,0,,
1956,"30 kilometres, Men",gold,FIN,FIN,,,ITA,0,,
1956,"50 kilometres, Men",gold,SWE,SWE,,,ITA,0,,
1956,"Relay, Men",gold,URS,RUS,,,ITA,0,,
1956,"10 kilometres, Women",gold,URS,RUS,,,ITA,0,,
1956,"Relay, Women",gold,FIN,FIN,,,ITA,0,,
1956,"Singles, Men",gold,USA,USA,,,ITA,0,,
1956,"Singles, Women",gold,USA,USA,,,ITA,0,,
1956,"Pairs, Mixed",gold,AUT,AUT,,,ITA,0,,
1956,"Ice Hockey, Men",gold,URS,RUS,,,ITA,0,,
1956,"Individual, Men",gold,NOR,NOR,,,ITA,0,,
1956,"Large Hill, Individual, Men",gold,FIN,FIN,,,ITA,0,,
1956,"500 metres, Men",gold,URS,RUS,,,ITA,0,,
1956,"5,000 metres, Men",gold,URS,RUS,,,ITA,0,,
1956,"10,000 metres, Men",gold,SWE,SWE,,,ITA,0,,
1960,"Downhill, Men",gold,FRA,FRA,1306.79629911648,47412964.0,USA,0,7.175333847703071,17.674406251380127
1960,"Giant Slalom, Men",gold,SUI,CHE,1954.3113206427,5327827.0,USA,0,7.5777931447034375,15.488454020705232
1960,"Slalom, Men",gold,AUT,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Downhill, Women",gold,GER,DEU,1162.12266831735,72814900.0,USA,0,7.058003498378269,18.10343116255447
1960,"Giant Slalom, Women",gold,SUI,CHE,1954.3113206427,5327827.0,USA,0,7.5777931447034375,15.488454020705232
1960,"Slalom, Women",gold,CAN,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"Individual, Men",gold,SWE,SWE,2128.36441205712,7484656.0,USA,0,7.663109082068011,15.828365616195903
1960,"15 kilometres, Men",gold,NOR,NOR,1451.2850779894,3581239.0,USA,0,7.2802047035998525,15.091219387887241
1960,"30 kilometres, Men",gold,SWE,SWE,2128.36441205712,7484656.0,USA,0,7.663109082068011,15.828365616195903
1960,"50 kilometres, Men",gold,FIN,FIN,1191.85508873415,4429634.0,USA,0,7.083266270381181,15.303827520098062
1960,"Relay, Men",gold,FIN,FIN,1191.85508873415,4429634.0,USA,0,7.083266270381181,15.303827520098062
1960,"10 kilometres, Women",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1960,"Relay, Women",gold,SWE,SWE,2128.36441205712,7484656.0,USA,0,7.663109082068011,15.828365616195903
1960,"Singles, Men",gold,USA,USA,2999.86487154495,180671000.0,USA,1,8.006322523817438,19.01218825568802
1960,"Singles, Women",gold,USA,USA,2999.86487154495,180671000.0,USA,1,8.006322523817438,19.01218825568802
1960,"Pairs, Mixed",gold,CAN,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"Ice Hockey, Men",gold,USA,USA,2999.86487154495,180671000.0,USA,1,8.006322523817438,19.01218825568802
1960,"Individual, Men",gold,GER,DEU,1162.12266831735,72814900.0,USA,0,7.058003498378269,18.10343116255447
1960,"Large Hill, Individual, Men",gold,GER,DEU,1162.12266831735,72814900.0,USA,0,7.058003498378269,18.10343116255447
1960,"500 metres, Men",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1960,"5,000 metres, Men",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1960,"10,000 metres, Men",gold,NOR,NOR,1451.2850779894,3581239.0,USA,0,7.2802047035998525,15.091219387887241
1960,"500 metres, Women",gold,GER,DEU,1162.12266831735,72814900.0,USA,0,7.058003498378269,18.10343116255447
1960,"1,000 metres, Women",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1960,"1,500 metres, Women",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1960,"3,000 metres, Women",gold,URS,RUS,,119897000.0,USA,0,,18.602143598834008
1964,"Downhill, Men",gold,AUT,AUT,1275.45715281679,7223801.0,AUT,1,7.15105994455725,15.792891826634193
1964,"Giant Slalom, Men",gold,FRA,FRA,1891.12061521027,49401492.0,AUT,0,7.544924850447873,17.715491184131217
1964,"Slalom, Men",gold,AUT,AUT,1275.45715281679,7223801.0,AUT,1,7.15105994455725,15.792891826634193
1964,"Downhill, Women",gold,AUT,AUT,1275.45715281679,7223801.0,AUT,1,7.15105994455725,15.792891826634193
1964,"Giant Slalom, Women",gold,FRA,FRA,1891.12061521027,49401492.0,AUT,0,7.544924850447873,17.715491184131217
1964,"Slalom, Women",gold,FRA,FRA,1891.12061521027,49401492.0,AUT,0,7.544924850447873,17.715491184131217
1964,"Individual, Men",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"Two, Men",gold,GBR,GBR,1748.2881176141,54000000.0,AUT,0,7.466392369643356,17.80449460452855
1964,"Four, Men",gold,CAN,CAN,2561.63849088572,19325000.0,AUT,0,7.848402368240475,16.77691015243776
1964,"15 kilometres, Men",gold,FIN,FIN,1725.60483489826,4548543.0,AUT,0,7.453332896936031,15.330317519865611
1964,"30 kilometres, Men",gold,FIN,FIN,1725.60483489826,4548543.0,AUT,0,7.453332896936031,15.330317519865611
1964,"50 kilometres, Men",gold,SWE,SWE,2961.02884624727,7661354.0,AUT,0,7.993292070116707,15.85169928849823
1964,"Relay, Men",gold,SWE,SWE,2961.02884624727,7661354.0,AUT,0,7.993292070116707,15.85169928849823
1964,"5 kilometres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
1964,"10 kilometres, Women",gold,URS,RUS,,125345000.0,AUT,0,,18.64658049346029
